============================================================================================
Tue May 13 16:15:17 CEST 2014          Logger app started
============================================================================================
Frame -1   |   Start 1399990518171   |   Frame Length 1399990518171
Frame 104   |   Start 1399990518236   |   Frame Length 65
Frame 105   |   Start 1399990518308   |   Frame Length 72
Frame 106   |   Start 1399990518409   |   Frame Length 101
Frame 107   |   Start 1399990518510   |   Frame Length 101
Frame 108   |   Start 1399990518611   |   Frame Length 101
Frame 109   |   Start 1399990518721   |   Frame Length 110
Frame 110   |   Start 1399990518822   |   Frame Length 101
Frame 111   |   Start 1399990518913   |   Frame Length 91
Frame 112   |   Start 1399990519014   |   Frame Length 101
Frame 113   |   Start 1399990519115   |   Frame Length 101
Frame 114   |   Start 1399990519216   |   Frame Length 101
Frame 115   |   Start 1399990519319   |   Frame Length 103
Frame 116   |   Start 1399990519421   |   Frame Length 102
Frame 117   |   Start 1399990519515   |   Frame Length 94
Frame 118   |   Start 1399990519616   |   Frame Length 101
Frame 119   |   Start 1399990519723   |   Frame Length 107
Frame 120   |   Start 1399990519823   |   Frame Length 100
Frame 121   |   Start 1399990519921   |   Frame Length 98
Frame 122   |   Start 1399990520021   |   Frame Length 100
Frame 123   |   Start 1399990520121   |   Frame Length 100
Frame 124   |   Start 1399990520222   |   Frame Length 101
Frame 125   |   Start 1399990520324   |   Frame Length 102
Frame 126   |   Start 1399990520430   |   Frame Length 106
Frame 127   |   Start 1399990520518   |   Frame Length 88
Frame 128   |   Start 1399990520620   |   Frame Length 102
Frame 129   |   Start 1399990520721   |   Frame Length 101
Frame 130   |   Start 1399990520822   |   Frame Length 101
Frame 131   |   Start 1399990520922   |   Frame Length 100
Frame 132   |   Start 1399990521025   |   Frame Length 103
Frame 133   |   Start 1399990521126   |   Frame Length 101
Frame 134   |   Start 1399990521229   |   Frame Length 103
Frame 135   |   Start 1399990521331   |   Frame Length 102
Frame 136   |   Start 1399990521432   |   Frame Length 101
Frame 137   |   Start 1399990521532   |   Frame Length 100
Frame 138   |   Start 1399990521633   |   Frame Length 101
Frame 139   |   Start 1399990521738   |   Frame Length 105
Frame 140   |   Start 1399990521825   |   Frame Length 87
